"filename", "language", "JSON with Comments", "CSS", "TypeScript React", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\recentBooks\recentBooksStyles.css", "CSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\TopBookCard.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 0, 0, 8, 4, 36
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\TopBooks.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\topBooksStyles.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\reduxHooks.tsx", "TypeScript React", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useConfirmEmail.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetch.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetchById.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetchUsers.tsx", "TypeScript React", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useQuery.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\AddProduct.tsx", "TypeScript React", 0, 0, 126, 0, 0, 0, 0, 0, 0, 13, 139
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\BuyItemButton.tsx", "TypeScript React", 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\ItemPage.tsx", "TypeScript React", 0, 0, 141, 0, 0, 0, 0, 0, 0, 16, 157
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\hooks\useAddProduct.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\hooks\useMercadoPago.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 1, 10, 50
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\itemStyles.css", "CSS", 0, 82, 0, 0, 0, 0, 0, 0, 0, 11, 93
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\DownloadModal.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\ListPage.tsx", "TypeScript React", 0, 0, 127, 0, 0, 0, 0, 0, 17, 10, 154
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\hooks\useDownload.tsx", "TypeScript React", 0, 0, 42, 0, 0, 0, 0, 0, 3, 7, 52
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\listStyles.css", "CSS", 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loading\Loading.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loginPage\LoginForm.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
